,Location,Location_Type,State,Bedroom_Size,Year
0,"New York, NY",City,NY,Studio,2014
1,"New York, NY",City,NY,1br,2014
2,"New York, NY",City,NY,2br,2014
3,"New York, NY",City,NY,3br,2014
4,"New York, NY",City,NY,4br,2014
0,"New York, NY",City,NY,Studio,2015
1,"New York, NY",City,NY,1br,2015
2,"New York, NY",City,NY,2br,2015
3,"New York, NY",City,NY,3br,2015
4,"New York, NY",City,NY,4br,2015
0,"New York, NY",City,NY,Studio,2016
1,"New York, NY",City,NY,1br,2016
2,"New York, NY",City,NY,2br,2016
3,"New York, NY",City,NY,3br,2016
4,"New York, NY",City,NY,4br,2016
0,"New York, NY",City,NY,Studio,2017
1,"New York, NY",City,NY,1br,2017
2,"New York, NY",City,NY,2br,2017
3,"New York, NY",City,NY,3br,2017
4,"New York, NY",City,NY,4br,2017
0,"New York, NY",City,NY,Studio,2018
1,"New York, NY",City,NY,1br,2018
2,"New York, NY",City,NY,2br,2018
3,"New York, NY",City,NY,3br,2018
4,"New York, NY",City,NY,4br,2018
0,"New York, NY",City,NY,Studio,2019
1,"New York, NY",City,NY,1br,2019
2,"New York, NY",City,NY,2br,2019
3,"New York, NY",City,NY,3br,2019
4,"New York, NY",City,NY,4br,2019
