,Location,Location_Type,State,Bedroom_Size,Price_2014__AVG,Price_2015__AVG,Price_2016__AVG,Price_2017__AVG,Price_2018__AVG,Price_2019__AVG
0,"New York, NY",City,NY,Studio,1806.1666666666667,1846.0,1858.0833333333333,1869.0,1889.25,1908.8333333333333
1,"New York, NY",City,NY,1br,2005.75,2050.0,2063.25,2075.5833333333335,2098.0,2119.6666666666665
2,"New York, NY",City,NY,2br,2389.25,2442.25,2458.0,2472.5,2499.25,2525.0
3,"New York, NY",City,NY,3br,3080.8333333333335,3149.0833333333335,3169.25,3188.25,3222.5,3255.6666666666665
4,"New York, NY",City,NY,4br,3431.0833333333335,3507.1666666666665,3529.6666666666665,3550.5833333333335,3589.0833333333335,3625.8333333333335
5,"Los Angeles, CA",City,CA,Studio,980.5,1035.8333333333333,1078.5,1118.0833333333333,1140.5833333333333,1146.1666666666667
6,"Los Angeles, CA",City,CA,1br,1166.6666666666667,1232.9166666666667,1283.5833333333333,1330.9166666666667,1357.5833333333333,1364.5
7,"Los Angeles, CA",City,CA,2br,1499.1666666666667,1584.3333333333333,1649.4166666666667,1710.25,1744.5,1753.3333333333333
8,"Los Angeles, CA",City,CA,3br,2037.75,2153.0,2241.75,2324.25,2370.75,2382.8333333333335
9,"Los Angeles, CA",City,CA,4br,2246.5833333333335,2374.1666666666665,2471.5833333333335,2562.75,2614.0833333333335,2627.3333333333335
10,"Chicago, IL",City,IL,Studio,870.5833333333334,895.3333333333334,905.5833333333334,927.9166666666666,926.3333333333334,932.1666666666666
11,"Chicago, IL",City,IL,1br,1010.0833333333334,1039.0833333333333,1050.8333333333333,1077.0,1075.1666666666667,1082.0
12,"Chicago, IL",City,IL,2br,1188.3333333333333,1222.4166666666667,1236.25,1266.8333333333333,1264.8333333333333,1272.8333333333333
13,"Chicago, IL",City,IL,3br,1519.8333333333333,1563.4166666666667,1581.0,1620.3333333333333,1617.5833333333333,1627.6666666666667
14,"Chicago, IL",City,IL,4br,1808.5833333333333,1860.5,1881.4166666666667,1928.0833333333333,1924.6666666666667,1937.0
15,"Houston, TX",City,TX,Studio,705.5833333333334,731.6666666666666,732.8333333333334,720.5833333333334,738.9166666666666,739.5
16,"Houston, TX",City,TX,1br,799.5,829.0833333333334,830.4166666666666,816.5,837.4166666666666,838.0
17,"Houston, TX",City,TX,2br,978.5833333333334,1014.75,1016.3333333333334,999.3333333333334,1024.9166666666667,1025.5
